Country/Area,Good,Child Labor,Forced Labor,Forced Child Labor
Indonesia,Tin,1,0,0
Indonesia,Tobacco,1,0,0
Iran,Bricks,1,0,0
Iran,Carpets,1,0,0
Kazakhstan,Cotton,1,1,0
Kenya,Cattle,1,0,0
Kenya,Coffee,1,0,0
Kenya,Fish,1,0,0
Kenya,Gold,1,0,0
Kenya,Khat/Miraa (stimulant plant),1,0,0
Kenya,Rice,1,0,0
Kenya,Sand,1,0,0
Kenya,Sisal,1,0,0
Kenya,Stones,1,0,0
Kenya,Sugarcane,1,0,0
Kenya,Tea,1,0,0
Kenya,Tobacco,1,0,0
Kyrgyz Republic,Cotton,1,0,0
Kyrgyz Republic,Tobacco,1,0,0
Lebanon,Potatoes,1,0,0
Lebanon,Tobacco,1,0,0
Lesotho,Cattle,1,0,0
Liberia,Diamonds,1,0,0
Liberia,Rubber,1,0,0
Madagascar,Mica,1,0,0
Madagascar,Sapphires,1,0,0
Madagascar,Stones,1,0,0
Madagascar,Vanilla,1,0,0
Malawi,Tea,1,0,0
Malawi,Tobacco,1,1,1
Malaysia,Electronics,0,1,0
Malaysia,Garments,0,1,0
Malaysia,Palm Fruit,1,1,0
Malaysia,Rubber Gloves,0,1,0
Mali,Cotton,1,0,0
Mali,Gold,1,0,0
Mali,Rice,1,1,1
Mauritania,Cattle,1,0,0
Mauritania,Goats,1,0,0
Mauritius,Garments,0,1,0
Mexico,Beans (green beans),1,0,0
Mexico,Cattle,1,0,0
Mexico,Chile Peppers,1,1,0
Mexico,Coffee,1,0,0
Mexico,Cucumbers,1,0,0
Mexico,Eggplants,1,0,0
Mexico,Garments,1,0,0
Mexico,Leather Goods/Accessories,1,0,0
Mexico,Melons,1,0,0
Mexico,Onions,1,0,0
Mexico,Poppies,1,0,0
Mexico,Pornography,1,0,0
Mexico,Sugarcane,1,0,0
Mexico,Tobacco,1,0,0
Mexico,Tomatoes,1,1,0
Mongolia,Coal,1,0,0
Mongolia,Gold,1,0,0
Mozambique,Tobacco,1,0,0
Nepal,Bricks,1,1,1
Nepal,Carpets,1,1,1
Nepal,Embellished Textiles,1,1,1
Nepal,Stones,1,1,1
Nicaragua,Bananas,1,0,0
Nicaragua,Coffee,1,0,0
Nicaragua,Gold,1,0,0
Nicaragua,Gravel (crushed stones),1,0,0
Nicaragua,Shellfish,1,0,0
Nicaragua,Stones (pumice),1,0,0
Nicaragua,Tobacco,1,0,0
Niger,Cattle,0,1,0
Niger,Gold,1,0,0
